Number of hit	Text ID	Concordance line
1	2	maddeleri de beraberinde tüketiyor . Kuşkusuz bu katkı maddelerinin hepsi insan sağlığına zaralı değil . Ayrıca bu katkı maddelerinden haberdar olan
2	2	için hayvanlar ( özellikle fareler ) kullanılmıştır ; ancak hayvanlar insan değil ki onlara kendilerini nasıl hissetiklerini soralım . ( Başınız
3	2	iki yıl ya da bilmem kaç yıl daha uzaması artık insan sağlığından çok daha önemli . Size abartılı ama ne yazık
4	2	birçok insanın sağlığına zararı şüphe götürmez Dikkat edin - bazı insan guruplarının sağlığına belirli bir zarar oluşturur Dikkat - olası zarar
5	2	törende konuşan İbrahim Aybar ; Güvenli taşıtlar ürettiğimize inanıyoruz ama insan ve eğitim faktörünü göz ardı ederek , ülkemizdeki yol güvenliği
6	2	yol güvenliği sorununu çözebilmek olanaksız . İşte bunun için önce insan , önce eğitim demek gerek dedi ve geçtiğimiz yılın sonunda
7	2	kadar performanslıymış da falan da filan . Bu arabayı alsam insan içine çıkamam ben be . Zaten bu araç yollar için
8	2	güzelki : ) yapacak yorum bulamıyorum . Demek ki cidden insan sanal ortamda ruh ikizini bulabiliyormuş . Ben buldum şimdi sıra
9	2	önce hayatımın aşkını buldum ve bunu mynet te borçluyum aradıgım insan birgün karşıma çıkıcaktı ve onu buldum çok hemde belkide kader
10	2	Bayan , istanbul Aslında bu tür ilişkilere pek sıcak bakan insan değildim ta ki abdullah`ı tanıyana kadar onunla mesajlaşırken telefonumu istedi
11	2	hissediyorum . çünkü o tanıdığım en iyi ve en güzel insan . herkese böyle bir arkadaş bulmasını diliyorum . sevgiyle kalın
12	2	kadar bilmediğim bir insandı ama şuan benim hayattımdaki en önemli insan yaşadığımız şehirler farklı ama dostluğu paylaşmak için engel değil ikimizde
13	2	telefonda görüşüp konuşuyoruz mynette çok teşekkür ederim karşıma böyle harikabir insan çıkardığı için ve dostum seni seviyorum nerde olursan ol bu
14	2	farklı bir dostluk kurmak ya da gerçekten aşık olabileceğin bir insan ararsın bir gün mynette dolaşırken arkadaşım diye yeni bir yer
15	2	. Kendimi övmüş gibi göstermek asla istemiyorum ama burada bir insan ve onun duyguları söz konusuydu ve bu kadar uzaktan ne
16	2	adı aykut . Herkes tanışsın bence , çünkü;insan gibi bir insan . Onu çoooook seviyorum . emine ok , 20 ,
17	2	iki gün sonra hoş bir bayanla tanıştım ve yakında o insan eşim olcak . ilk kez böyle bir durumdayım ama çok
18	2	yalçın , 26 , Bay , batman çok sevdiğim bir insan vardı bi anda ortadan kayboldu . onu çok aradım ama
19	2	güzelki : ) yapacak yorum bulamıyorum . Demek ki cidden insan sanal ortamda ruh ikizini bulabiliyormuş . Ben buldum şimdi sıra
20	2	önce hayatımın aşkını buldum ve bunu mynet te borçluyum aradıgım insan birgün karşıma çıkıcaktı ve onu buldum çok hemde belkide kader
21	2	Bayan , istanbul Aslında bu tür ilişkilere pek sıcak bakan insan değildim ta ki abdullah`ı tanıyana kadar onunla mesajlaşırken telefonumu istedi
22	2	hissediyorum . çünkü o tanıdığım en iyi ve en güzel insan . herkese böyle bir arkadaş bulmasını diliyorum . sevgiyle kalın
23	2	farklı bir dostluk kurmak ya da gerçekten aşık olabileceğin bir insan ararsın bir gün mynette dolaşırken arkadaşım diye yeni bir yer
24	2	kadar bilmediğim bir insandı ama şuan benim hayattımdaki en önemli insan yaşadığımız şehirler farklı ama dostluğu paylaşmak için engel değil ikimizde
25	2	telefonda görüşüp konuşuyoruz mynette çok teşekkür ederim karşıma böyle harikabir insan çıkardığı için ve dostum seni seviyorum nerde olursan ol bu
26	2	. Kendimi övmüş gibi göstermek asla istemiyorum ama burada bir insan ve onun duyguları söz konusuydu ve bu kadar uzaktan ne
27	2	adı aykut . Herkes tanışsın bence , çünkü;insan gibi bir insan . Onu çoooook seviyorum . emine ok , 20 ,
28	2	Genetik ana bilim dalında modern biyolojinin çağdaş bilgilerinin ve uygulamalarının insan sağlığı ve hastalıkları yönünde kullanılmasına yönelik eğitim - öğretim ve
29	2	yapılmakta ve genetik danışmanlık hizmetlerine katkıda bulunulmaktadır . Teşhiste : insan doku örnekleri çeşitli amaçlarla ya direk ya da hkültür hizmeti
30	2	iki gün sonra hoş bir bayanla tanıştım ve yakında o insan eşim olcak . ilk kez böyle bir durumdayım ama çok
31	2	yalçın , 26 , Bay , batman çok sevdiğim bir insan vardı bi anda ortadan kayboldu . onu çok aradım ama
32	2	ve ona aşık oldum . Ama ne yapalım bazen de insan sever karşısındaki onu sevmez . Bu seferde öyle oldu ama
33	2	İsmini veremediğim bu kişi şu an hayatımda tanıdığım en iyi insan . Ben İstanbulluyum , ama İstanbul'da bile bu kadar güzel
34	2	, 1 Ağustos 2005 25 / 02 / 2005.. Çoğu insan için belki sıradan ama benim için çok çok özel .
35	2	. Aslında inanmazdım da Internet aşklarına falan . Etrafımda onca insan varken ne işim olur bu tür şeylerle , diye ahkam
36	2	sitenin aktifliği benim yanlızlığımı giderdi dersem yalan olmaz . Gerçekten insan yeni tanıştığı arkadaş ortamında biraz olsun yanlızlığını unutur . Net
37	2	adresine girdiğim günden itibaren yeni insanlarla tanıştım . Tanıştığım her insan hoşgörülü ve sempatik . Her zaman bu siteye takılacağım .
38	2	cafe odası . Gece 02.00 suları ... Odada ondan fazla insan olmasına rağmen ses seda yoktur ... < SERSERISAIR > selam
39	2	. Dünyanın her yerinden yüzbinlerce hacı vardı . Her renkten insan vardı ; mavi gözlü sarışınlardan tutun da Afrikalı karaderililere değin
40	2	, okuyabilirle de , çalışabilirler de sen 2. sınıf bir insan olarak beyhude yırtınıyorsun ... islamiyetde türk kültürüne uygun bişey yoktur
41	2	boylarının bekçileriydiler . Çok büyük bir coğrafyaya dağılmış çok fazla insan gibi , onlar da çöken imparatorluğun altında kaldılar . İki
42	2	, okullarda çocuklarına kötü muamele ediliyordu . Yani ikinci sınıf insan muamelesine tabi tutuluyorlardı . Ayırımcılığın giderek şiddetlenmesi üzerine , Ahıskalıların
43	2	haklıydı ve de eksik söylemişti 70 milyon aptal ve hırsız insan bir arada yaşıyoruz sadece bazı uyanık hırsızlar diğerlerinden daha fazla
44	2	acımasızlığı 2001 yılı krizinde kendini göstermiş ve 2 milyondan fazla insan işlerinden olmuştur . Benim bu konudaki tesbitim bu işsiz kalan
45	2	doğumunu planlamış ) domekrasinin tüm kurum ve kurallarıyla işlediği önce insan sonra devlet anlayışını içine sindirmiş ( hem devlet olarak hemde
46	2	çok önemli bir konuya değinmişsin , dürüstlük meziyet değil doğal insan tyavrı olduğunu anlamamız gerekir , sevgi , barış dolu dünya
47	2	yaşıyoruz bu masallar artık bitti . Ama insanlıktan bahsedersen eğer insan olmanın erdeminden anlarım yok incil miş kuran mış bunlar artık
48	2	İnsanlık eğitimi alsınlar diyorsunuz da Var mı o eğitimi verecek insan ? Lalenin dünyası ne / Aldanma dünyasına / Dünya benim
49	2	renk yerine daha vurucu renkler hakimdir , çarşaflı ve karasakallı insan yoktur . Bisiklet yolları normal yolun yanında yer alır ,
50	2	. . Dewlet dairelerinde bilgisiz veya ne yapacağını bilmeyen çok insan war . . Bilen bilir . . Cewap5 : Geçerli
51	2	işletir . japonya örneği gibi hiç önemli kaynağın olmasa elindeki insan kaynağını iyi kullanarak gelişmiş bir ülke olabilirsin . o nedenle
52	2	ve umutsuzlanmak yerine elden gelen tüm çabaların gösterilmesinden yanayım ... insan , umut ve çaba asla yok olmamalı ... ÖRNEKLERDE MANTIKLI
53	2	bedava krediler alarak veya teşvikler alarak zengin olmuş bir sürü insan vardır . Aslında Türkiye de ticaret devlet tabanlı olarak yürümektedir
54	2	lokantada yemek yerken , kahve içerken intihar bombacıları ile ölenler insan değilmidir . ?yoksa yalnız filistin tarafında ölenler mi insandır .
55	2	kazımaya çalışmakla en iyisini yapmış çünkü benim anladığım kadarıyla bunlar insan değil kana susamış azgın köpeklere benziyorlar . OLAYI DOĞRU ANLAYIN
56	2	, maviye döndü sessizce . Dindi bataklık fırtınaları ... Şaşıyor insan , her sabah eğilip , Eteklerine bakan dağlar gibi ...
57	2	yenecek o bir kahin tarafından muştulanmış kişiyi arayan bir avuç insan ve onlardan bir havadis bekleyen kırık dökük bir topluluğa evsahipliği
58	2	bir yorum ariyorum . . bence uzerine konusmaya basladigi anda insan tum ic dunyasini bastan kesfedebilir . . sessizligin sebebi bu
59	2	film bence en iyi 100 film arasına girebilir . Yönetmenimiz insan ilişkilerini öylesine derin ve hassas irdeleyip bunları müzik ve görüntü
60	2	bunlar sadece ılk bakışta elimize gelenler . Aslında zaman zaman insan şöyle bir hafızasını yokladığında Ahhhh Ahhhh demeden de edemiyor hani
61	2	güzeldi be eskiden para , yoktu yaşam zordu ama insanları insan gibi adamları adam gibiydi eskinin . Düşünsene o zamanın duygularını
62	2	. GENÇLİK HAEKETİNİN AMACI Devrimci hareketin EN GENEL AMACI ; insan kişiliğinin özgürce gelişebildiği ; insandaki gizli ( birikimin ) potansiyelinin
63	2	olmaz mı hiç ? Aşık olup da mutlulukları gözlerinden okunan insan görmedin mi hiç ? Aşk Tanrı'nın insanlara verdiği en güzel
64	2	ülkelerin uymaları gereken temel kriterler tanımlandı . Bu kriterler , insan hakları ve demokrasiye saygı , kurumların istikrarı , serbest pazar
65	2	bir yarismada kendi oz dilimizi kullanmiyrouz benn onu anlamiyorum . insan kendi dilinden utanir mi yaa ? ? ? o yarismaya
66	2	! Reklam panolarinda Tarkan - Come Closer i görüyorsunuz ... insan haliyle gururlaniyor ! Tarkan , Simarik , Sikidim ve Bu
67	2	daha kalabalık nasıl olabilir diyenleriniz olabilir , ama benim bahsettiğim insan sayısı değil , sayının ötesindeki kalabalık , o kalabalığın (
68	2	Yunanistan ve İngiltere’de piyasaya çıkıyor . Ülkemizde şarkıyı seven az insan çıktı gerçi ama Süperstar’ın yurtdışındaki liste ve anketlerde genelde ilk
69	2	olsa bende hayatımda hic spor yapmasam kullanamam tabi arabayı . insan biraz avrupayı izlerde ders alır . Utanın ve bırakın bu
70	2	üste üçüncü iki puanı alınca biraz daha yukarıda olmayı istiyor insan . Ama bu sonuçtan da gayet memnunuz . Giancarlo’nun sürüşü
71	2	çok yoğun bir tempoydu , etaplar arasındaki kilometreler uzun olunca insan yarıştan kopuyor bir şekilde . 2. gün kendimi biraz daha
72	2	tarafından sınıfının en güvenli otomobili seçilen Civic , Honda mühendisliğinin insan hayatına verdiği önemi vurgularken , performans değerleri ile rakiplerini geride
73	2	bilgileri değerlendiren sistem , şekil ve boyutları sayesinde bu nesnelerin insan olup olmadığını tahmin edip , ekran ya da sesli alarm
74	2	sporcu . Özel hayatına dikkat eden , spora tapan bir insan . Mert , etapta beni çok dinler ve inanılmaz bir
75	2	çok iyi biliyor . Mert Soley : Birkaç kazadan sonra insan mecburen öğreniyor . ( gülüşmeler ) - Sizin bir de
76	2	da neredeyse mümkün değil . Bu sessiz otomobil eğer bir insan olsaydı , zaaflarını kabul etmesi çok zor olurdu . Çünkü
77	2	oturma yeri ve kapasitesi olan otomobilleri beğenmemeye başlamışlardı . Mini’nin insan ve bagaj taşıma kapasitesi öyle efsaneleşmişti ki , insanlar onun
78	2	C modeli için 600 bin dolara kadar çıkmıştı . Çoğu insan tarafından Shelby kültürünün en efsanevi otomobili olarak kabul edilen Cobra
79	2	Güvenlik oldukça üst seviyede her tarafınız da hava yastığı mevcut insan kendisini rahat ve güvende hissediyor . KÖTÜ özellikleri : 1
80	2	göre yakıt tüketimide düşük . ki zaten böylebir arabaya binen insan yakıt olayına fazla takılmaz . http://www.phaeton.com.tr/home/home.asp bu adresten aracı tam
81	2	böyle mükemmel bir araçta olunca o kusura saniyeler içinde unutuyor insan . Herkese tavsiye ederim ( 10 / 10 ) kahramanba
82	2	edicem diye arbayı garajda yatırıp verdigi ekstra parayı çıkaramayan binlerce insan var tercihiniz illede dizel olması deilse aynı fiyata cok daha
83	2	yasasin gurur : ) ) ) bence kız suçlu bi insan ne kadar aşık olursa olsun namusu herşeyden önce gelir .
84	2	bünyenin alerjik potansiyelinin artmasıdır . Bilindiği yaz ve kış aylarında insan bünyesi farklı çalışır . Bahar ayları bir sistemden diğerine geçiş
85	2	çenesini hareket ettirmeye çalışarak nefes almasına yardımcı olun . Çoğu insan , havale geçiren kişinin dilini ısıracağını ya da yutacağını ve
86	2	Gelişmiş bir konuşma yetileri vardır ve istedikleri zaman ikna edemeyecekleri insan yok gibidir . Uçsuz bucaksız hayal güçlerini sezgi ve enerjileriyle
87	2	alternatifi olarak karşımıza çıkıyor diş implantları . Bu sayede pekçok insan hayatlarının sonuna kadar kullanmak zorunda oldukları hareketli protezlerden veyasağlıklı dişlerin
88	2	kötü biri yapmayacağı kesin . Paranızın üzerinde söz sahibi çok insan var . Dikkat : Özverili davranışları biraz ertelemeniz , dostluk
89	2	Eminem'in aptal olduğunu , 50 Cent'i de karşılaştığı en sevimsiz insan ilan ettiğini belirtti . Gallagher , hip hop yıldızlarını direk
90	2	, temelde yanlış beslenme ve tuvalet alışkanlıklarından gelir . Bir insan belirli oranda bitkisel lif almazsa , bağırsağındaki posa oranı düşecektir
91	2	silikat yapısında olan böbrek taşlarına sık rastlanılmaktadır . Görüldüğü gibi insan vücudunda bir çok element var . Bunların hemen hepsi çok
92	2	dövülüp balla karıştırılarak bir kaşık tüketilirse veya kaynatılarak çayı içilirse insan sağlığına kattığı bir çok yararla birlikte cinsel gücü ve isteği
93	2	bünyenin alerjik potansiyelinin artmasıdır . Bilindiği yaz ve kış aylarında insan bünyesi farklı çalışır . Bahar ayları bir sistemden diğerine geçiş
94	2	olumsuz olarak etkiler . Bu durumda çocuklar , sevdiği bir insan tarafından çantası , cep telefonu , ajandası karıştırılan bir yetişkinin
95	2	içinde okula dönerek , arkadaşlarını göreceğini hatırlatın . Ailenin sevdiği insan olmadan olağan yaşantısına devam edeceğini anlatın . Acılı dönemlerde sergilenen
96	2	çenesini hareket ettirmeye çalışarak nefes almasına yardımcı olun . Çoğu insan , havale geçiren kişinin dilini ısıracağını ya da yutacağını ve
97	2	karışıklığa neden olur . Terör hareketlerinin hemen ardından pek çok insan benzer duyguları yaşar . Çocuklar ise olayların gölgesinde işbirliğine girmeyi
98	2	takip edebilecekleri bir yere koymaktır . Aile içinde birden fazla insan aynı bilgisayarı kullanırsa çocuk sırasını bekleme , başkalarının eşyalarına saygı
99	2	umutsuzluğa kapılmak ve kas çalışmaktan vazgeçmek doğru değildir . Her insan kaslarını gözle görünür derecede geliştirerek şekillendirebilir . Kasları dinlendirmek Kas
